dimension;category;definition
saa;Coastal and Oceanic Systems;These are the marine ecosystems along the coast and in the ocean, including coral reefs, mangroves, fishing communities, and coastal urban areas. These systems are highly susceptible to the impacts of climate change, such as sea level rise, ocean acidification, and extreme weather events.
saa;Cross-cutting Enabler: Finance;Planning and financing are essential to understanding the impacts of climate change across different systems, making informed decisions, and allocating resources to implement and accelerate adaptation.
saa;Cross-cutting Enabler: Planning;Planning and financing are essential to understanding the impacts of climate change across different systems, making informed decisions, and allocating resources to implement and accelerate adaptation.
saa;Food and Agriculture Systems;Refer to the entire process of producing, processing, distributing, and consuming food and agricultural products, including the impact on food security, nutrition and health, social equity, and the economy.
saa;Health systems;Health Systems
saa;Human Settlements Systems;These are the constructed environments where people live, work and play, including urban, suburban and rural areas. Human settlements are vulnerable to the impacts of climate change, including sea level rise, increased heat, and extreme weather events.
saa;Infrastructure Systems;These are the critical systems that support human activity, such as energy and transportation systems. Climate change can cause disruptions to these systems, such as damage to hydroelectric power or rail assets caused by flooding, or changes in demand caused by heat waves.
saa;Water and Nature Systems;Encompass the interrelated ecological and hydrological systems, including agricultural land, wilderness areas, and rural communities, and their impact on biodiversity, water resources, and the functioning of wastewater systems.
action type;Climate risk and vulnerability assessments, disclosure and monitoring actions;This category focuses on conducting thorough assessments of climate risks and vulnerabilities. It involves the disclosure of these assessments and continuous monitoring to inform and guide climate resilience strategies. The goal is to understand and communicate the extent of climate risks to better prepare and adapt to climatic changes.
action type;Access to early warning systems and development of early actions;Establishes advanced warning systems to foresee and act before extreme or slow-evolving climatic events occur, developing rapid and efficient response capabilities at various levels.
action type;Preparedness with contingency plans and emergency response;Integrates climate risk and vulnerability analysis into national emergency preparedness and response strategies, aiming to equip nations for handling and mitigating climatic disasters.
action type;Establishment of effective governance to manage climate risks accompanied by human and institutional capacity-building;Encourages inclusive climate risk management in policy and action planning at all levels, with a focus on the most vulnerable and marginalized groups.
action type;Nature-based solutions used to reduce risks;Promotes ecological and sustainable solutions in planning policies and practices, like ecosystem conservation and natural habitat restoration, to mitigate climate impacts.
action type;Climate-proofing of infrastructure and services;Adapts and strengthens infrastructures and services to be resilient to climate risks, including updating building codes and engineering practices.
action type;Risk transfer: insurance and social protection instruments;Develops insurance and social protection mechanisms responsive to climate risks to protect vulnerable and poor populations from extreme climatic events.
action type;Sharing of knowledge and best practices on climate risk management;Promotes the exchange of strategies for effective and sustainable climate risk management, focusing on increasing climate resilience.
action type;Increase in the volume, quality and access of public and private finance to invest in resilience;Boosts financial resources for climate adaptation and resilience projects, focusing on mobilizing public and private investments.
Permaculture Domain;Land and Nature Stewardship;Permaculture begins with understanding nature, working with rather than against her
Permaculture Domain;Building;Infrastructure that can enhance our way of life while minimising long-term impact
Permaculture Domain;Tools and Technology;Human ingenuity used to transform energy from our environment to more useful resources
Permaculture Domain;Education and Culture;Redefining how we learn by becoming more active and encouraging creativity
Permaculture Domain;Health and Spiritual Well-Being;Taking more personal responsibility for our own well-being
Permaculture Domain;Finances and Economics;Alternative exchange systems reduce reliance on the fragile monetary economy
Permaculture Domain;Land Tenure and Community Governance;Develop new ways to provide access to land and govern our communities
Permaculture Action;Bio-intensive gardening;Use of compost, double digging, companion planting and natural pest control to produce the maximum amount of food in the minimum area.
Permaculture Action;Forest gardening;Producing food from trees, perennial and annual plants in a system that mimics a natural forest
Permaculture Action;Seed saving;Collecting and storing seeds, often with the aim of maintaining certain strains.
Permaculture Action;Organic agriculture;Commercial agriculture that uses natural fertilisers and pest control methods.
Permaculture Action;Biodynamics;A system of organic agriculture and gardening based on the work of Rudolf Steiner
Permaculture Action;Natural farming;A Japanese system of organic agriculture involving minimal or no use of tillage and animal manures, most notably associated with Masanobu Fukuoka
Permaculture Action;Keyline water harvesting;A system of landscape analysis, water harvesting and soil development using dams, channels and soil condition ploughing, developed by P.A.Yeomans.
Permaculture Action;Wholistic rangeland management;A system that uses intensive rotational grazing of livestock to sustainably manage land and provide animal yields, developed and taught by Allan Savory
Permaculture Action;Natural sequence farming;A system of gabions, revegetation, and swales, to restore health and productivity of floodplains, developed by Peter Andrews
Permaculture Action;Agroforestry;Integrated production of pastures and/or crops with timber and/or tree crops
Permaculture Action;Nature-based forestry;Sustainable forestry that uses mixed species, long rotations, minimal impact harvesting and natural regeneration in wild and planted timber forests
Permaculture Action;Integrated aquaculture;Aquatic systems that provide most of the food for harvested fish and/or other animals.
Permaculture Action;Wild harvesting & hunting;Gathering food and other yields from wild plants and animals.
Permaculture Action;Gleaning;Gathering of food wasted by commercial production.
Permaculture Action;Passive solar design;Sun oriented glazing and shading, thermal mass, passive venting.
Permaculture Action;Natural construction materials; Earth, strawbale, lime plaster, round pole, stone.
Permaculture Action;Water harvesting & waste reuse;Water tanks, compost toilets and reedbeds.
Permaculture Action;Biotechture; The manipulation of tree form to grow structures and buildings.
Permaculture Action;Earth sheltered construction; “Earthships” and other designs that build into the ground.
Permaculture Action;Natural disaster resistant construction; Bushfire, wind, flood & earthquake.
Permaculture Action;Owner building; Empowerment and financial autonomy of residents and communities in constructing their own housing using accessible technologies and materials
Permaculture Action;Pattern Language; Organic design theory and tools of Christopher Alexander
Permaculture Action;Reuse & creative recycling; Decentralised and context specific reuse of materials through craft, rather than centralised industrial processes
Permaculture Action;Hand tools; Recovery and maintenance of traditional tools and skills.
Permaculture Action;Bicycles & electric bikes; Human powered and assisted transport that improves the efficiency of the human body.
Permaculture Action;Efficient & low pollution wood stoves; Rocket and other stove designs using simple materials and local construction.
Permaculture Action;Fuels from organic wastes; Bio-diesel, methanol, biogas and wood gas for local cooking, electricity and transport.
Permaculture Action;Wood gasification; Efficient and carbon neutral fuel for local electric power and vehicle transport.
Permaculture Action;Bio-char from forest wastes; Charcoal soil improver and carbon capture.
Permaculture Action;Co-generation; Use of fuel to generate electricity and provide heat for on-site use.
Permaculture Action;Micro-hydro & small scale wind; Simple renewable technologies for remote and local grid power.
Permaculture Action;Grid-tied renewable power generation; Use of the electric grid as a “battery” for localised power generation.
Permaculture Action;Energy storage; Heat banks, pumped storage (water), compressed air, and other simple temporary stores of energy.
Permaculture Action;Transition engineering; Re-localisation of the maintenance, retrofit and redesign of infrastructure and technology.
Permaculture Action;Home Schooling;Parents as natural teachers of children within the household economy.
Permaculture Action;Waldorf education; Schools based on the educational methods of Rudolf Steiner.
Permaculture Action;Participatory arts & music; Reclaiming our place as actors/musicians rather than spectators.
Permaculture Action;Social ecology; Philosophy focused on the redesign of society using ecological principles.
Permaculture Action;Action learning; A reflective process of progressive problem solving that accepts the observer as a part of the system being studied.
Permaculture Action;Transition culture; An evolving exploration of the head, heart and hand of energy descent.
Permaculture Action;Home birth & breast feeding; Reclaiming birth and infant nutrition as part of the economy of nature and the household.
Permaculture Action;Complementary & wholistic medicine; A wide spectrum of approaches to health care outside of conventional allopathic medicine.
Permaculture Action;Spirit of place, indigenous cultural revival; Reconnection of spiritual and cultural values to place and “country”.
Permaculture Action;Yoga, Tai Chi & other body/mind/spirit disciplines; The maintenance of health through regular designed exercises based on eastern traditions.
Permaculture Action;Dying with dignity; Movement to reclaim dying from institutionalised medicine.
Permaculture Action;Farmers markets & community supported agriculture (CSA); Direct connection and contracting between producers and consumers without the middlemen.
Permaculture Action;Tradable energy quotas; A parallel currency to allow equitable distribution and trade of the right to consume and pollute.
Permaculture Action;Life cycle analysis & ’emergy’ accounting; Wholistic methods for measuring the full costs and benefits of existing and new technologies and economies.
Permaculture Action;Local & regional currencies; Interest-free money systems that serve a defined and limited territory.
Permaculture Action;Carpooling, ride sharing & car share; Rebuilding community by more efficient use of existing cars and roads.
Permaculture Action;Ethical investment & fair trade; Using the power of investment and consumption to drive equitable economies.
Permaculture Action;WWOOFing & similar networks; Voluntary exchange of work for food, accommodation and experience of ecological living.
Permaculture Action;Cooperatives & Body Corporates; Legal structures for collective ownership and management of land, buildings and other assets.
Permaculture Action;Cohousing & Ecovillages; Ecologically designed communities where residents are bound together by some degree of shared ownership and organisation.
Permaculture Action;Open Space Technology & Consensus Decision Making; Collaborative tools for sharing knowledge and reaching decisions.
Permaculture Action;Native Title & traditional use rights; Traditional ways of non-exclusive use of land and resources, recognised in law.
SubRA;Preparedness;This skill focuses on the ability to anticipate and prepare for situations of change and uncertainty. It involves not only the implementation of responses, warning systems, and action protocols, but also the early identification of potential threats. It is the competence to recognize the hazard, interpret its imminent proximity, and know how to act appropriately and effectively in the face of it. This preparedness not only mitigates the impact of threats, but can also provide opportunities for adaptation and growth in times of challenge.
SubRA;Planning;This skill emphasizes the ability to develop short, medium, and long-term strategies that manage change and uncertainty, promoting continuous adaptation to climate change. Planning is a critical process that facilitates the generation of a resilient vision for the future. This approach includes establishing long-term perspectives, taking into account both current and future trends, creating more adaptive and collaborative methods that encourage the participation and engagement of various stakeholders, as well as the clear definition of desirable conditions for conservation and sustainable use of natural resources. This forward planning process aids in anticipating and preparing effective responses to situations of change and challenge.
SubRA;Experiential learning;This capacity refers to the ability to learn from past experiences and failures, avoiding repeating mistakes and encouraging greater caution in future decisions. Transformative or experiential learning is a process in which problematic frames of reference are reconfigured to make them more inclusive, open and reflective with the intention of changing the scenario and thus building resilience. Therefore, this type of learning becomes a vital tool for the growth and development of stronger and more enduring resilience.
SubRA;Educational learning;This type of learning involves the generation, absorption and processing of new information and knowledge focused on climate change adaptation and uncertainty management. This process is characterized by its dynamism and constant evolution, which allows for the continuous incorporation and application of new information. Educational learning is not limited to the classroom, but also occurs through interaction with the community, participation in research projects and field work. Environmental education can be a strategy for educational learning, involving the development of analytical and critical skills to understand the complexity of climate change and its consequences.
SubRA;Autonomy;The ability of an individual, system or community to independently make decisions and take actions in response to challenges or changes. This ability promotes more personalized and effective adaptation to specific circumstances, resulting in greater resilience.
SubRA;Leadership;This capacity involves the ability to influence, guide and motivate others to achieve common goals in times of adversity. This skill requires not only the ability to make strategic decisions at critical moments, but also the skill to inspire trust, cohesion and action in others. Effective leadership can mobilize resources, foster collaboration, and lead recovery efforts in ways that overcome adversity and promote resilience.
SubRA;Decision Making;This capacity refers to the ability to choose among different options in response to changes or challenges. This skill involves evaluating possible actions and their consequences, as well as choosing and executing a course of action. Effective decision making is critical to a timely and effective response to challenges, and can make the difference between failure and overcoming adversity. Sound judgment, the ability to make decisions under pressure, and the ability to learn from mistakes are key aspects of this subcategory of agency. These skills promote successful adaptation and recovery from adversity, which increases resilience.
SubRA;Collective Participation;Collective participation is a vital aspect of resilience, enabling the mobilization of individuals and groups towards common goals. It fosters social cohesion and drives collaborative action, particularly in response to challenges like climate change. By promoting collective participation, communities strengthen their bonds, foster shared ownership and solidarity, and empower individuals to work together for the greater good.
SubRA;Connectivity;This refers to the quality, depth, and strength of social relationships within a system or community. Enhanced connectivity creates a responsive, well-informed network that can rapidly disseminate vital information and resources, facilitate mutual support, and collectively implement strategies to deal with crisis situations.
SubRA;Coordination;This refers to the ability to organize and align various elements, be they leaders, departments, or organizations, towards achieving shared goals. Effective coordination enhances the efficiency of crisis response, promotes the spirit of unity, fosters effective cooperation, and thereby fortifies resilience.
SubRA;Diversity;Diversity refers to the ability to maintain multiple adaptive strategies, which ensures an effective response to a variety of climatic situations or adversities. It promotes resilience by providing a variety of tools and approaches to deal with challenges.
SubRA;Redundancy;Redundancy involves maintaining copies of key strategies to ensure continuity of critical functions, even in cases of failures or outages. Although redundancy may seem inefficient in times of normalcy, it can be crucial for survival and recovery during and after adversity.
SubRA;Distributive equity;The ability to ensure fair and equitable distribution and access to resources. In the context of resilience, it is critical to ensure that the benefits and costs of adaptation and recovery strategies are shared fairly and that no one is excluded or left behind.
SubRA;Equity Access;The capacity to incorporate and integrate all affected actors and discourses into decision-making processes. Inclusiveness is crucial to ensure that decisions made are representative of the needs and aspirations of all stakeholders.
SubRA;Finance;Finance refers to the capacity to access, manage and effectively use financial resources. The robustness of internal funding, i.e., funds generated and managed within the community or system, is often more significant than external funding sources.
SubRA;Infrastructure;Infrastructure encompasses the physical and systematic facilities that are essential to the functioning and well-being of a community or society. Ensuring the resilience of infrastructure is critical, as these facilities act as platforms that can absorb and withstand catastrophes.
SubRA;Natural Resources;The effective management and use of natural resources is fundamental to the life and well-being of communities and ecosystems. Sustainable management of natural resources ensures their long-term availability and enables adaptation and recovery in the face of climate shocks.
SubRA;Technologies;Access to and use of appropriate technologies can significantly facilitate adaptation to climate change. These tools can contribute to building more resilient and sustainable systems.
SubRA;Basic services;Access to a wide range of services is a crucial component of supporting climate change adaptation. A resilient system ensures that these services remain accessible and functional during shocks, ensuring the well-being of the community.
RA;Preparedness and planning;This skill refers to the ability to anticipate, prepare for and proactively manage change and uncertainty.
RA;Learning;This capacity involves the generation, assimilation and processing of new information and knowledge specifically linked to climate change adaptation and uncertainty management.
RA;Agency;Agency refers to the ability of an individual, system or community to exercise free choice in response to environmental change or other challenges.
RA;Social Collaboration;Social collaboration embodies the capacity for self-organization and coordinated collective action, fostering a cooperative approach and combined efforts that elevate resilience.
RA;Flexibility;Flexibility is a capacity that refers to the ability to switch between different coping and adaptive strategies, based on new information and ongoing assessments.
RA;Equity;Capacity of ensuring fair and equitable access to resources, respecting fundamental equal rights in decision-making, and incorporating all affected stakeholders in decision-making processes.
RA;Assets;Assets represent the ability to access natural, financial, infrastructure, technological and service resources in times of need.
Action Cluster;Monitoring and mapping of risks and vulnerabilities;This action cluster involves the collection and analysis of geospatial and socioeconomic information to identify areas and populations that are most exposed to climate risks. It also involves evaluating the vulnerability of these groups, considering factors such as economic capacity, available infrastructure, and social conditions. The results are presented in the form of thematic maps and other visual formats to facilitate decision-making and planning of adaptation and mitigation interventions.
Action Cluster;Climate services and modelling;This action cluster focuses on the development and application of climate models that allow the generation of projections and future scenarios of climate and its impacts. These models help decision-makers, planners, and other actors anticipate changes in climate conditions, such as temperature, precipitation, and extreme events, and adapt their strategies and actions accordingly
Action Cluster;Data generation and processing;This action cluster comprises the collection of relevant data for climate resilience, such as meteorological, hydrological, demographic, and socioeconomic data. It also includes the analysis of this data using statistical, geospatial, and machine learning techniques to identify patterns, trends, and relationships that can inform adaptation and mitigation actions. Additionally, this Cluster Action involves the distribution and communication of analysis results through open data platforms, reports, and other information channels
Action Cluster;Early warning systems;This Cluster Action refers to the implementation of systems that constantly monitor environmental and climatic conditions and issue alerts when extreme events, such as storms, ﬂoods, or droughts, are detected. These systems can be based on remote sensors, weather stations, climate models, and other sources of information. Early warnings allow communities and authorities to prepare and take preventive measures before a disaster occurs, thus reducing human and material damage and losses.
Action Cluster;Emergency preparedness;This action cluster addresses the need to develop contingency and preparedness plans to deal with climate disasters. This includes identifying roles and responsibilities of the involved actors, allocating resources, and deﬁning action protocols in case of emergency. It also involves training personnel and communities in response and recovery techniques, such as evacuation, search and rescue, and ﬁrst aid. Emergency preparedness is essential to minimize the impacts of climate disasters and ensure a rapid and effective response.
Action Cluster;Environmental governance and resource management systems;This action cluster addresses the implementation of policies, practices, and sustainable management systems for natural resources, such as water, soil, forests, and biodiversity. Environmental governance also involves promoting collaboration and coordination among different levels of government, the private sector, civil society, and local communities in decision-making and the implementation of resource management actions.
Action Cluster;Environmental laws and regulatory framework;This action cluster focuses on the creation, updating, and application of laws and regulations that protect the environment, promote climate change adaptation, and foster sustainable practices. These laws and regulations can address issues such as natural resource management, pollution, biodiversity conservation, and land use planning
Action Cluster;Building regulations and standards for climate resilience;This action cluster involves the development and implementation of regulations and standards that ensure buildings are climate-resilient. These standards may include requirements for energy efﬁciency, the use of climate-resistant materials, adaptation to extreme weather events, and land use planning to reduce exposure to climate risks. Regulations and standards can also promote the adoption of sustainable building practices and the integration of nature-based solutions in the built environment.
Action Cluster;Protected areas and property rights definitions;This action cluster consists of establishing and managing protected areas, such as national parks, nature reserves, and Ramsar sites, to conserve biodiversity and maintain ecosystem services. It also involves clarifying and ensuring property and usage rights of natural resources, including the rights of indigenous and local communities, to facilitate sustainable management and conservation of these resources
Action Cluster;Institutional-led climate adaptation planning processes;This action cluster refers to the design and implementation of strategies and plans for climate adaptation at different levels of government (national, regional, and local). These plans identify vulnerabilities, climate risks, and priority actions to increase the resilience of communities, infrastructure, and ecosystems. Adaptation planning also includes monitoring and evaluating implemented actions and updating strategies as conditions change and new information becomes available
Action Cluster;Measures to improve air quality and reduce pollution;This action cluster addresses the implementation of policies, technologies, and practices to reduce emissions of air pollutants, such as ﬁne particles, nitrogen oxides, and volatile organic compounds. These measures include promoting public and non-motorized transportation, adopting clean technologies in industry and energy generation, and enacting air quality and emissions standards.
Action Cluster;Green infrastructure and other engineered nature-based solutions;This action cluster focuses on the design and implementation of infrastructure that uses natural systems to improve climate resilience and provide additional environmental beneﬁts. Examples of green infrastructure include artiﬁcial wetlands for stormwater management, green roofs to reduce urban heat island effects, and natural barriers such as mangroves and dunes to protect against coastal ﬂooding and erosion.
Action Cluster;Conservation and restoration of terrestrial and aquatic ecosystems;This action cluster is centered on protecting and recovering terrestrial and aquatic ecosystems, such as forests, wetlands, coral reefs, and seagrasses, to ensure their ability to provide ecosystem services and contribute to climate resilience. Conservation and restoration actions may include reforestation, revegetation, habitat rehabilitation, protection of critical areas for biodiversity, and sustainable management of natural resources.
Action Cluster;Critical Infrastructure and Protective Systems;This action cluster focuses on the design, construction, and maintenance of critical infrastructure, such as hospitals, schools, roads, and electrical grids, that are resilient to climate impacts. This involves incorporating climate considerations into the planning, design, and construction of infrastructure, as well as its maintenance and updating. Additionally, this action cluster may include strengthening protective systems, such as ﬂood barriers and levees, to reduce the impacts of extreme climate events on critical infrastructure.
Action Cluster;Coastal Infrastructure Protection;This action cluster addresses the implementation of measures to protect coastal infrastructure from extreme climate events and sea level rise. These measures may include building coastal protection infrastructure such as seawalls, breakwaters, and containment walls, as well as adopting nature-based solutions such as restoring coastal mangroves and dunes. It also involves coastal land-use planning and relocating infrastructure and communities in high-risk areas.
Action Cluster;Energy efficiency and renewable energy technologies;This action cluster promotes and implements technologies and practices that reduce energy consumption and increase the use of renewable energy sources such as solar, wind, hydroelectric, and biomass. Actions in this area may include implementing energy efﬁciency standards for buildings, promoting efﬁcient heating and cooling systems, and investing in infrastructure and policies for renewable energy generation and distribution.
Action Cluster;Water security and quality;Implementation of measures to ensure availability, quality, and access to water in the context of climate change, including water resource management, storage and distribution infrastructure, and water treatment and puriﬁcation technologies.
Action Cluster;Health services;This action cluster focuses on strengthening and adapting healthcare systems to face the challenges and risks associated with climate change, such as the spread of infectious diseases, increasing extreme weather events, and their impacts on mental and physical health. Actions in this area may include training healthcare professionals on climate change-related topics, improving healthcare infrastructure to withstand extreme weather events, and implementing surveillance and response systems for infectious and emerging diseases.
Action Cluster;Food security and sustainable services;This action cluster addresses the implementation of practices and technologies that ensure the availability, access, and stability of nutritious and culturally appropriate foods, while promoting sustainability in the production, distribution, and consumption of food. Actions may include promoting resilient local food systems, implementing sustainable agricultural practices, and reducing food loss and waste throughout the supply chain.
Action Cluster;Social protection actions;This action cluster focuses on implementing social protection programs and policies, such as cash transfers, training, and technical assistance, that help vulnerable communities to face and adapt to the impacts of climate change. These actions may include temporary employment programs in ecosystem restoration, training in resilient agricultural practices, and community early warning systems.
Action Cluster;Climate insurance and risk transfer;This action cluster focuses on the development and implementation of ﬁnancial mechanisms, such as insurance and risk transfer products, that help vulnerable communities and sectors to face and recover from the economic impacts of climate change. These mechanisms may include climate index-based insurance for farmers and ﬁshers, contingency funds for disasters, and ﬁnancing mechanisms for post-disaster recovery and reconstruction.
Action Cluster;Actions in agricultural, livestock, forestry, and aquaculture practices;This action cluster promotes and implements sustainable and resilient practices in these sectors, such as crop diversiﬁcation, agroforestry systems, soil conservation practices, and sustainable management of ﬁshery resources. Actions may include adopting efﬁcient irrigation technologies, promoting agroecological practices, sustainable pasture management, and implementing monitoring and control systems for ﬁsheries to prevent overexploitation and ensure the sustainability of ﬁshery resources.
Action Cluster;Community-based inclusive and participatory risk reduction;This action cluster aims to strengthen the capacity of local communities to identify, evaluate, and address climate risks in an inclusive and participatory manner, considering the needs and perspectives of different population groups. Actions may include implementing community workshops, creating local risk management committees, and promoting the participation of women, youth, and marginalized groups in decision-making.
Action Cluster;Climate hazard communication, information, and technology awareness;This action cluster focuses on the development and implementation of communication and education strategies and tools that help communities understand and address climate risks. Actions may include awareness campaigns, environmental and climate education programs, and the use of media and information technologies to disseminate information on risks and adaptation measures.
Action Cluster;Building knowledge for resilience;This action cluster promotes and implements research, training, and skill-building activities that strengthen the capacity of communities and other actors to cope with and adapt to climate change. Actions may include conducting case studies, developing courses and training programs, and establishing research and training centers on climate resilience.
Action Cluster;Research and collaboration actions;This action cluster fosters cooperation and knowledge exchange among institutions, sectors, and countries on climate resilience, including the development of joint projects and collaboration networks. Actions may include the creation of exchange platforms and forums, holding thematic conferences and events, and promoting partnerships among public, private, and civil society entities.
Action Cluster;Diversiffication of livelihoods and social economy;This action cluster supports the diversiﬁcation of income sources and the promotion of sustainable and climate-resilient economic activities, including the creation and strengthening of cooperatives, micro-enterprises, and other forms of community economic organization. Actions may include training in entrepreneurship and business management, access to ﬁnancing and technical assistance, and the promotion of local markets and sustainable value chains.
Action Cluster;Financial tools and investments in case of climate disasters;This action cluster focuses on the development and implementation of ﬁnancial instruments and investment strategies that help communities, businesses, and governments to mobilize resources for recovery and reconstruction after climate disasters, such as emergency funds, lines of credit, and green bonds. Actions may include the creation of speciﬁc ﬁnancing mechanisms, the promotion of public and private investments in resilient infrastructure, and the integration of climate resilience criteria in project evaluation.
Action Cluster;Economic incentives;This action cluster focuses on the establishment of economic incentives that promote the adoption of climate-resilient practices and technologies and the conservation of natural resources. These incentives may include subsidies, tax credits, and ecosystem service payment systems, among others. In addition, they may include the design and implementation of payment for ecosystem service systems that reward landowners and local communities for the protection and restoration of key ecosystems, such as forests, wetlands, and mangroves, which contribute to climate resilience and provide environmental and social beneﬁts.
